"","Company","Ticker","SICS","ModelID","perform:OperatingRevenue","perform:CostRevenue","position:SellingGeneralAdministrative5yCapitalization","position:PropertyPlantEquipmentGross","position:OtherIntangibleAssets","position:LeaseContractCommitments","position:Goodwill","perform:ResearchDevelopmentExpenses","perform:FCF","value:MarketCap","Firm_Efficiency","Satisfied_Constraint"
"608","First Solar  Inc.","FSLR","20104020",1097793,2995,2203,764,4273,30,26,5,82,101,8979.78776337017,0.0043,"Yes"
"609","Fox Corp","FOXA","50201020",1097795,12356,8044,4268,3850,3198,523,3409,0,1643,18020.1635768,0.4726,"Yes"
"610","Cimarex Energy Co","XEC","10102020",1097796,1882,406,940,18869,0,68,620,0,-350,3976.68919807123,0.0016,"No"
"611","United States Steel Corporation","X","15104050",1097797,12483,11402,1083,17743,150,162,0,0,-140,7664.88622694627,0.4766,"Yes"
"612","Wynn Resorts  Limited","WYNN","25301010",1097798,4904,3212,2384,14208,222,566,0,0,1089,12723.5123098118,0.0282,"Yes"
"613","Wyndham Destinations Inc","WYND","25301020",1097799,3103,1542,3023,1541,113,206,959,0,-368,7544.9770704,0.0011,"Yes"
"614","Weyerhaeuser Co","WY","60101080",1097800,7216,4929,1267,14901,0,196,0,6,1419,22084.573594177,0.231,"Yes"
"615","The Western Union Company","WU","20201070",1097801,4995,2842,3772,1079,510,55,2324,0,1280,8938.56748057798,0.0416,"Yes"
"616","West Pharmaceutical Services Inc.","WST","35101020",1097802,2349,1486,829,2117,18,59,98,47,318,19798.2436258259,0.0027,"Yes"
"617","Watsco Inc","WSO","20104010",1097803,5198,3935,2282,243,147,468,391,0,298,7805.95635357478,0.0979,"Yes"
"618","Williams-Sonoma  Inc.","WSM","25504060",1097804,6644,4107,4691,3978,0,0,85,0,675,8284.563938355,0.4447,"Yes"
"619","Westrock Co","WRK","15103020",1097805,17855,14337,4906,18138,4621,585,8293,0,1739,11770.6995143892,0.4104,"Yes"
"620","Weingarten Realty Investors","WRI","60101040",1097806,431,155,95,4105,18,95,0,0,258,2901.91032998861,0,"Yes"
"621","WPX Energy Inc","WPX","10102020",1097807,2504,186,2394,11314,0,75,0,6,316,5806.35093241583,0.001,"No"
"622","WP Carey Inc","WPC","60101040",1097808,1226,137,265,7020,2077,873,908,0,1073,11879.1486369007,0.0015,"Yes"
"623","Walmart Inc","WMT","30101030",1097809,554467,420453,318564,228689,0,13294,31880,0,22660,419526.2584704,1,"Yes"
"624","Williams Companies Inc","WMB","10102040",1097810,7989,1899,5685,29319,6774,176,0,0,2641,27028.0630167682,0.2151,"No"
"625","Westlake Chemical Corporation","WLK","15101010",1097812,8106,6918,1349,11501,775,506,1179,0,576,10033.3456643811,0.2608,"Yes"
"626","Whirlpool Corporation","WHR","25201040",1097813,19996,16177,6183,8582,2296,1073,2451,517,1409,11442.0801827243,0.5428,"Yes"
"627","United Rentals  Inc.","URI","20201070",1097814,8523,5261,2945,18670,1538,554,7177,0,2019,17155.9137963632,0.2054,"Yes"
"628","Hormel Foods Corp","HRL","30202030",1097816,9914,7959,2251,3864,1557,46,3502,33,797,25584.1917730913,0.38,"Yes"
"629","Hill-Rom Holdings  Inc.","HRC","35101020",1097817,2775,1353,2482,768,1029,88,1793,132,423,6558.11985176252,0.0012,"Yes"
"630","H & R Block Inc","HRB","25302020",1097818,3545,1921,2136,1034,456,440,782,0,777,3073.2018984828,0.002,"Yes"
"631","HP Inc","HPQ","45202030",1097820,57547,46970,14843,7423,0,328,7168,1464,4082,29415.5751343709,0.9292,"Yes"
"632","Hewlett Packard Enterprise Co","HPE","45202030",1097821,27259,18397,14499,10260,809,400,17984,1704,2170,15868.4961375254,0.5017,"Yes"
"633","Helmerich & Payne  Inc.","HP","10101010",1097822,1084,816,518,9724,75,29,67,13,225,2779.34803763065,3e-04,"No"
"634","Honeywell International Inc.","HON","20105010",1097823,33931,22404,16921,13810,4198,271,15769,0,5801,147568.601291796,0.7435,"Yes"
"635","Hologic  Inc.","HOLX","35101010",1097824,5097,1693,2571,1262,1249,71,2194,256,1521,19924.4655695407,0.0557,"Yes"
"636","Harley-Davidson Inc","HOG","25102010",1097825,4282,3003,2591,3048,5,66,55,166,180,6210.44870392004,0.0021,"Yes"
"637","Herbalife Nutrition Ltd","HLF","30202030",1097826,6113,1259,10271,1441,310,140,91,0,656,6065.06906337869,0.4175,"Yes"
"638","Highwoods Properties Inc","HIW","60101040",1097827,736,232,123,5915,0,34,0,0,363,4169.84942676098,0,"Yes"
"639","Huntington Ingalls Industries Inc","HII","20101010",1097828,9112,7682,2367,5262,485,74,1355,24,443,7208.12555094987,0.353,"Yes"
"640","HollyFrontier Corp","HFC","10102030",1097830,11173,9412,833,8447,750,301,2643,0,-391,4584.674346552,0.4482,"No"
"641","Hess Corp.","HES","10102030",1097831,4453,1456,5463,38452,0,367,360,157,-948,13662.819439328,0.001,"No"
"642","Heico Corp","HEI","20101010",1097832,1846,1122,942,443,667,54,1538,59,361,17880.4720159084,0.0015,"Yes"
"643","Hawaiian Electric Industries  Inc.","HE","55101010",1097833,2909,2580,0,8330,0,8,82,0,167,3686.95135268704,0.4288,"Yes"
"644","HD Supply Holdings Inc","HDS","20107010",1097834,4496,2645,4345,1548,122,398,1389,0,684,8891.6414408388,0.0013,"Yes"
"645","Home Depot Inc","HD","25504030",1097835,129975,85796,56281,50455,0,4790,2266,0,13489,285633.6574182,1,"Yes"
"646","HCA Healthcare Inc","HCA","35102015",1097837,54464,8993,94133,53171,0,1392,8806,0,5439,55733.1075243594,1,"Yes"
"647","Hanesbrands Inc.","HBI","25203010",1097838,6702,4047,4997,2225,1601,361,1301,50,686,5031.24929722231,0.2062,"Yes"
"648","Expedia Group Inc","EXPE","25301030",1097839,7942,1710,17065,7140,1750,535,7884,814,-30,20163.0597046704,0.1069,"Yes"
"649","Expeditors International of Wshngtn Inc","EXPD","20301010",1097840,9266,6402,4783,1390,0,0,7,0,723,14988.0964885144,1,"Yes"
"650","Eagle Materials  Inc.","EXP","15102010",1097841,1589,1187,141,3231,66,56,340,0,308,4000.47716080051,0.0069,"Yes"
"651","Zoetis Inc","ZTS","35202010",1097842,7142,2105,4496,4503,2386,166,3273,463,1975,75360.3871809277,0.1826,"Yes"
"652","Zynga Inc","ZNGA","45102030",1097843,2743,848,1405,227,290,77,1818,702,828,9947.48501820769,0.0021,"Yes"
"653","Zillow Group Inc","ZG","60102040",1097844,4766,2848,2826,594,194,208,2022,675,-246,17385.9542016945,0.0117,"Yes"
"654","Zebra Technologies Corp.","ZBRA","45203010",1097845,4841,2622,2341,858,297,62,2834,473,870,20404.7290024011,0.0225,"Yes"
"655","Zimmer Biomet Holdings Inc","ZBH","35101020",1097846,8159,2312,9737,6373,7274,208,9621,441,1398,30394.0003107559,0.1326,"Yes"
"656","Yum! Brands  Inc.","YUM","25301040",1097848,6266,3201,3437,2948,251,526,547,0,1717,32184.4558693928,0.232,"Yes"
"657","Xylem Inc","XYL","20106020",1097849,5093,3093,3362,2315,1171,163,2832,185,544,17713.2829319098,0.0415,"Yes"
"658","Xerox Holdings Corp","XRX","45203010",1097850,6979,4235,6629,4531,320,267,3898,296,695,4578.03657696238,0.1374,"Yes"
"659","DENTSPLY SIRONA Inc","XRAY","35101020",1097851,3721,1665,4427,2274,2091,75,3263,117,516,11647.2684779794,0.001,"Yes"
"660","Exxon Mobil Corporation","XOM","10102030",1097852,220591,155830,115466,491339,0,1794,0,2083,13348,245502.21528,1,"No"
"661","Xilinx  Inc.","XLNX","45301020",1097853,3067,934,1166,1105,304,34,585,827,978,34982.7644439234,0.0029,"Yes"
"662","Stanley Black & Decker  Inc.","SWK","20106020",1097854,14765,9466,7892,4729,3889,276,9998,254,1795,28080.1297570671,0.3399,"Yes"
"663","Sun Communities Inc","SUI","60101060",1097855,1282,546,295,7544,85,53,0,0,360,13794.7276910942,0.0017,"Yes"
"664","Constellation Brands  Inc.","STZ","30201010",1097856,8465,4056,4373,7523,2743,516,7827,0,1970,40339.228694281,0.2312,"Yes"
"665","Starwood Property Trust  Inc.","STWD","60101080",1097857,1090,87,601,2972,145,2,259,0,0,5840.20587103114,3e-04,"Yes"
"666","Store Capital Corp","STOR","60101040",1097858,682,6,127,8221,0,48,0,0,-741,9038.89530045455,0,"Yes"
"667","Steel Dynamics  Inc.","STLD","15104050",1097859,10328,8709,1780,7830,304,88,483,0,77,8279.42797155232,0.4443,"Yes"
"668","Extended Stay America Inc","STAY","25301020",1097860,1138,18,2014,4704,28,87,45,0,385,2517.796709159,1e-04,"Yes"
"669","SS&C Technologies Holdings  Inc.","SSNC","45103020",1097861,4754,2251,2169,900,7352,538,11148,423,1835,19165.3363487265,0.0131,"Yes"
"670","Stericycle Inc","SRCL","20201050",1097862,2686,1558,2368,1739,1464,483,2880,0,308,6433.2123508926,0.0012,"Yes"
"671","Square Inc","SQ","20201070",1097863,13156,9203,3630,283,93,295,316,1994,659,87954.6355389329,0.698,"Yes"
"672","Spirit AeroSystems Holdings  Inc.","SPR","20101010",1097864,4056,3968,563,4531,1,44,2,31,-146,4803.41431448525,0.0089,"Yes"
"673","Splunk Inc","SPLK","45103020",1097865,2160,456,3580,547,263,225,1426,698,139,23534.6549167709,5e-04,"Yes"
"674","S&P Global Inc","SPGI","50201040",1097866,7542,2060,4211,772,1564,605,3628,0,3355,77401.4659822372,0.2936,"Yes"
"675","Simon Property Group Inc","SPG","60101040",1097867,4543,875,1042,37032,131,1109,20,0,3935,44365.6766877311,0.0055,"Yes"
"676","Sonoco Products Co","SON","15103010",1097868,5085,4055,1473,4347,465,261,1732,21,391,6221.07001077048,0.0504,"Yes"
"677","Waste Management  Inc.","WM","20201050",1097869,16901,10387,7738,34709,604,421,6794,0,2291,48621.285704302,0.3545,"Yes"
"678","Pfizer Inc.","PFE","35202010",1097870,53312,12102,43033,35960,42192,1073,64000,7820,19083,233331.029124847,0.7501,"Yes"
"679","PepsiCo  Inc.","PEP","30202030",1097871,73401,32942,76419,49085,16921,1379,15833,777,8279,198827.498079414,0.8713,"Yes"
"680","PACCAR Inc","PCAR","20106010",1097872,21065,18118,1925,9097,0,36,0,284,-211,29769.4258745472,1,"Yes"
"681","PBF Energy Inc","PBF","10102030",1097873,16995,15611,694,5921,180,387,0,0,-313,1121.81478880825,0.8465,"No"
"682","Paychex  Inc.","PAYX","20202010",1097874,3948,0,4039,1479,395,96,2144,0,1388,32966.4857772,0.0012,"Yes"
"683","Palo Alto Networks Inc","PANW","45102030",1097875,4114,1022,3935,927,425,230,2152,917,2895,27758.93876547,0.0013,"Yes"
"684","Penske Automotive Group  Inc.","PAG","25504050",1097876,22871,19406,7511,3353,583,6460,2101,0,94,4560.66983784051,0.6771,"Yes"
"685","Occidental Petroleum Corporation","OXY","10102020",1097877,17466,7563,5906,96084,0,617,0,214,3521,19268.024831994,0.3597,"No"
"686","Outfront Media Inc","OUT","60101080",1097878,1505,490,1483,3693,550,600,2083,0,273,3596.7565979052,6e-04,"Yes"
"687","Oshkosh Corp","OSK","20106010",1097879,6935,5786,1926,1488,432,53,995,83,378,5683.38824195463,0.2543,"Yes"
"688","O'Reilly Automotive Inc","ORLY","25504050",1097880,11729,5525,10145,8208,1,896,936,0,1598,31837.5768941767,0.5746,"Yes"
"689","Oracle Corporation","ORCL","45103020",1097881,39892,8185,28433,16625,3666,1698,42930,6010,14189,179459.445564,0.7177,"Yes"
"690","ON Semiconductor Corp","ON","45301020",1097882,5684,3652,1687,6439,678,94,1906,655,722,12665.501557503,0.0898,"Yes"
"691","OneMain Holdings Inc","OMF","40202010",1097883,3348,388,2010,0,343,165,1422,0,0,5902.79410708551,0.0019,"Yes"
"692","Omnicom Group Inc.","OMC","50201010",1097884,13701,10075,4807,1596,332,773,9274,0,1582,13692.7600465951,0.4645,"Yes"
"693","O-I Glass Inc","OI","15103010",1097885,6066,5044,1469,7953,372,214,2338,62,592,1905.04455720548,0.123,"Yes"
"694","Omega Healthcare Investors Inc","OHI","60101080",1097886,1039,15,166,8491,28,9161,644,0,1250,9552.7736210912,6e-04,"Yes"
"695","Corporate Office Properties Trust","OFC","60101040",1097887,563,249,94,3000,27,16,0,2,274,2895.95236820567,0,"Yes"
"696","Old Dominion Freight Line Inc","ODFL","20304020",1097888,4491,490,6570,5107,0,1,19,0,543,22749.5359590158,9e-04,"Yes"
"697","Owens Corning","OC","20102010",1097889,7292,5694,1979,7527,1978,161,2220,86,749,8048.16403987686,0.2054,"Yes"
"698","Realty Income Corp","O","60101040",1097890,1707,77,192,18619,1493,106,14,0,1581,21590.3899128637,0.0058,"Yes"
"699","News Corp","NWSA","50201040",1097891,8446,4544,9089,6984,1884,568,3993,0,285,11072.767276,0.2091,"Yes"
"700","Newell Brands Inc","NWL","25201040",1097892,9658,6406,6912,3493,4916,220,3708,144,940,8728.49570936429,0.2834,"Yes"
"701","NVR  Inc.","NVR","25201030",1097893,9261,7318,1411,242,48,85,0,0,1116,15166.2381120212,0.7284,"Yes"
"702","NVIDIA Corporation","NVDA","45301020",1097894,16490,5652,2760,3303,49,393,618,3193,5919,325878.5593446,0.8838,"Yes"
"703","Nu Skin Enterprises  Inc.","NUS","30302010",1097895,2839,725,4781,954,84,53,208,35,215,2778.58806242532,6e-04,"Yes"
"704","Nucor Corporation","NUE","15104050",1097896,20896,18631,2126,18747,715,62,2123,0,181,16990.729126838,0.5987,"Yes"
"705","Nuance Communications Inc.","NUAN","45103020",1097897,1354,467,1448,409,322,46,2928,206,244,13867.1422657393,4e-04,"Yes"
"706","Northern Trust Corporation","NTRS","40203010",1097898,6097,495,8972,2687,48,142,277,0,1198,19058.3130045864,0.4309,"Yes"
"707","NetApp Inc.","NTAP","45202030",1097899,5610,1841,5776,2225,44,45,1811,887,902,13535.6052512,0.1109,"Yes"
"708","Norfolk Southern Corp.","NSC","20304020",1097900,10673,6472,835,45109,0,447,0,0,2678,58744.3763541958,0.2659,"Yes"
"709","NRG Energy Inc","NRG","55101010",1097901,10170,7611,2622,2793,748,260,549,6,1500,7111.0862440728,0.5215,"Yes"
"710","ServiceNow Inc","NOW","45103020",1097902,5605,987,5434,1377,151,265,164,1151,1101,99943.8048777487,0.0823,"Yes"
"711","National-Oilwell Varco  Inc.","NOV","10101020",1097903,5615,4732,4587,6309,902,390,2974,0,98,10325.781262,0.0704,"No"
"712","Northrop Grumman Corporation","NOC","20101010",1097904,37533,29659,7002,15442,1321,1002,23778,1061,3613,49188.510984591,0.6931,"Yes"
"713","National Retail Properties  Inc.","NNN","60101040",1097905,677,28,112,9563,60,12,0,0,-70,6921.81090285565,0,"Yes"
"714","Annaly Capital Management  Inc.","NLY","60101080",1097906,1979,1488,762,704,20,16,71,0,-2254,11380.488507729,0.0021,"Yes"
"715","Nielsen Holdings PLC","NLSN","50201010",1097907,6368,2740,5716,2509,5037,368,6185,0,997,7146.84097327835,0.1103,"Yes"
"716","Nike Inc","NKE","25203020",1097908,42052,23528,36513,12758,274,2563,223,0,3930,217207.41103632,1,"Yes"
"717","Netflix Inc","NFLX","45102030",1097909,29551,17780,9470,2531,-87,1218,0,1913,19580,227834.246966914,0.9552,"Yes"
"718","Newmont Corporation","NEM","15104030",1097911,14356,5426,1557,37488,0,21,2674,399,3905,47983.1455435446,0.661,"Yes"
"719","Nordson Corporation","NDSN","20106020",1097912,2254,1024,2087,957,495,129,1797,61,430,11564.822329139,0.001,"Yes"
"720","Nasdaq Inc","NDAQ","40203040",1097913,2913,831,3035,1214,2311,275,6542,0,1102,20963.0826092793,0.001,"Yes"
"721","Alexandria Real Estate Equities Inc","ARE","60101040",1097915,1491,304,261,17529,282,250,0,0,1306,20243.2600230656,0.0031,"Yes"
"722","Antero Resources Corp","AR","45103010",1097916,3998,2367,2141,19224,0,149,0,0,400,2281.97282595171,0.0023,"Yes"
"723","Apple Hospitality REIT Inc","APLE","60101080",1097917,826,456,719,5880,0,12,0,0,153,3211.691485565,0,"Yes"
"724","Amphenol Corporation","APH","45203010",1097918,9000,6134,2872,3083,508,152,5594,257,1274,40645.4725529878,0.2947,"Yes"
"725","Apache Corporation","APA","10102020",1097921,4417,959,2443,37137,0,128,0,130,1031,6049.6269655536,0.0023,"No"
"726","A. O. Smith Corp","AOS","20104010",1097922,2993,1796,2129,1273,362,13,584,86,370,9165.49103938498,0.0015,"Yes"
"727","Aon PLC","AON","40301030",1097923,11293,0,23393,2763,618,728,6449,0,3059,50146.6665113027,0.4055,"Yes"
"728","ANSYS  Inc.","ANSS","45103020",1097924,1830,181,1448,347,610,53,3091,361,596,29406.9127057946,0.001,"Yes"
"729","Arista Networks Inc","ANET","45201020",1097925,2622,925,778,251,61,0,74,506,764,22090.5557098108,0.0035,"Yes"
"730","AutoNation  Inc.","AN","25504050",1097926,21625,17912,7469,5145,562,181,1452,0,530,5848.58665059108,0.699,"Yes"
"731","Amazon.com  Inc.","AMZN","25503010",1097927,450344,265928,187797,144882,4399,7947,16030,55946,58158,1609809.53929097,1,"Yes"
"732","American Tower Corp","AMT","60101080",1097929,8555,2426,2194,27845,13847,3621,6945,0,4297,94701.8146022973,0.2186,"Yes"
"733","Ameriprise Financial  Inc.","AMP","40203010",1097930,12759,5951,9071,2230,113,0,1167,0,2833,23277.760156239,1,"Yes"
"734","American Homes 4 Rent","AMH","60101060",1097931,1287,511,117,9448,2,3,120,0,630,11722.2039388229,0.0042,"Yes"
"735","Amgen  Inc.","AMGN","35202010",1097932,26434,4015,15486,14728,19317,306,14630,4346,12338,131068.700219086,0.6728,"Yes"
"736","Affiliated Managers Group  Inc.","AMG","40203010",1097933,1989,0,3879,255,1087,170,2438,0,1113,4215.20760074031,4e-04,"Yes"
"737","AMETEK  Inc.","AME","20104010",1097934,4888,3172,1538,1661,3377,126,4947,149,1152,26642.281222837,0.0323,"Yes"
"738","AMC Networks Inc","AMCX","50201020",1097935,2827,1482,1955,674,1867,197,831,0,522,1342.43075979207,0.0015,"Yes"
"739","Applied Materials  Inc.","AMAT","45301010",1097936,19450,10588,2892,4706,157,112,3437,2587,3917,80729.0849925806,0.8193,"Yes"
"740","Alexion Pharmaceuticals  Inc.","ALXN","35202010",1097937,6634,540,3633,1573,3344,115,5037,1141,2817,25903.6884226335,0.168,"Yes"
"741","Allison Transmission Holdings Inc","ALSN","20106010",1097938,2304,1167,1022,1673,980,17,1921,137,597,4898.32887391392,0.0021,"Yes"
"742","Alnylam Pharmaceuticals  Inc.","ALNY","35201010",1097939,815,104,1217,730,0,0,0,779,-553,15065.2373768885,0,"Yes"
"743","Allegion PLC","ALLE","45201020",1097940,2708,1525,1968,921,632,63,1080,51,486,10070.1246964309,0.0014,"Yes"
"744","Alkermes Plc","ALKS","35201010",1097941,1113,203,1538,708,150,8,92,469,64,3301.75408091094,1e-04,"Yes"
"745","Align Technology  Inc.","ALGN","35101020",1097942,3261,884,2830,1050,11,0,64,202,691,40208.1546809726,0.0013,"Yes"
"746","Albemarle Corporation","ALB","15101010",1097943,3159,2110,1302,6331,296,89,1321,50,39,15167.0113001469,0.0027,"Yes"
"747","Air Lease Corp","AL","20201070",1097944,2285,0,405,24552,0,63,0,0,-2492,4859.32783102941,0.0051,"Yes"
"748","Akamai Technologies  Inc.","AKAM","45102010",1097945,3389,794,2816,3745,192,395,1719,295,637,16902.7670123167,0.0014,"Yes"
"749","Vapotherm Inc","VAPO","35101020",1097946,83,41,170,43,0,7,0,17,-31,650.2295909143,0,"Yes"
"750","Axonics Modulation Technologies Inc","AXNX","35101020",1097947,157,54,159,11,0,4,0,43,-115,1867.28771996529,0,"Yes"
"751","SI-Bone Inc","SIBN","35101020",1097948,94,11,228,13,0,5,0,8,-28,819.49178015108,0,"Yes"
"752","Allogene Therapeutics Inc","ALLO","35201010",1097950,0,0,144,106,-1,0,0,244,-287,3683.56436861964,0,"Yes"
"753","Upwork Inc","UPWK","20202010",1097951,435,119,453,55,3,0,118,86,18,4477.27127199342,0,"Yes"
"754","Arvinas Inc","ARVN","35201010",1097953,25,0,72,13,0,0,0,107,-98,1257.27576545148,0,"Yes"
"755","Sutro Biopharma Inc","STRO","35201010",1097954,26,0,83,56,0,0,0,80,-77,763.71238831536,0,"Yes"
"756","SVMK Inc","SVMK","45102010",1097955,450,90,556,127,66,41,462,109,-1052,2940.5448,0,"Yes"
"757","Livent Corp","LTHM","15101010",1097957,338,262,110,780,1,13,0,3,-95,2374.477278,0,"Yes"
"758","Y-mAbs Therapeutics  Inc","YMAB","35201010",1097958,62,0,64,0,0,0,0,150,-95,2201.16259899414,0,"Yes"
"759","Twist Bioscience Corp","TWST","35202010",1097961,114,73,217,80,0,39,1,54,-142,7089.08060632137,0,"Yes"
"760","Osmotica Pharmaceuticals PLC","OSMT","35202010",1097962,162,67,250,49,153,4,100,30,3,374.15569704836,0,"Yes"
"761","Yeti Holdings Inc","YETI","25202010",1097964,1210,511,1027,209,103,30,61,0,204,6293.42857190352,4e-04,"Yes"
"762","Office Properties Income Trust","OPI","60101040",1097965,579,170,165,3493,0,1,0,0,144,838.0314673416,0,"Yes"
"763","Montage Resources Corp","MR","10102020",1097966,565,92,666,3376,0,29,0,11,25,185.0932793664,0,"No"
"764","Mirati Therapeutics Inc","MRTX","35201010",1097967,9,0,125,4,0,0,0,353,-300,11624.5385559023,0,"Yes"
"765","Meritor Inc","MTOR","25101010",1097968,3372,2954,742,1559,47,44,458,57,193,2059.65818264951,0.0052,"Yes"
"766","Carpenter Technology Corporation","CRS","15104050",1097969,1618,1537,589,3063,53,51,295,22,157,1538.7989298,0.0018,"Yes"
"767","J & J Snack Foods Corp","JJSF","30202030",1097971,1018,754,655,701,55,6,103,0,37,2878.52401241205,1e-04,"Yes"
"768","Allegheny Technologies Incorporated","ATI","20101010",1097972,2493,2247,731,4584,92,60,506,11,164,2050.42552096217,0.0034,"Yes"
"769","Unity Biotechnology Inc","UBX","35201010",1097977,0,0,52,22,0,0,0,88,0,315.16491123865,0,"Yes"
"770","Translate Bio Inc","TBIO","35201010",1097979,133,0,84,28,85,0,21,-7,114,1428.44706014603,0,"Yes"
"771","Lovesac Co","LOVE","25201020",1097980,307,148,269,49,1,0,0,0,3,580.968696,0,"Yes"
"772","Spero Therapeutics Inc","SPRO","35201010",1097982,17,0,43,8,0,0,0,91,-100,418.868043424,0,"Yes"
"773","Rimini Street Inc","RMNI","45102010",1097985,365,143,424,15,0,0,0,0,57,336.68518580086,0,"Yes"
"774","Purple Innovation Inc","PRPL","25504060",1097989,824,448,437,65,1,6,0,6,143,279.26746,0,"Yes"
